"","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5"
"Halichoeres_nicholsi",0.0889675499408469,-0.0911686529318982,0.100833825793089,-0.140827194221564,-0.00773070872728516
"Halichoeres_notospilus",0.130806183103673,-0.096449914042856,0.124138546097641,-0.102933658573108,-0.0059014664002678
"Heteropriacanthus_cruentatus",-0.0846895005449845,0.149200670169615,0.239394171777202,-0.0862723535510755,-0.169052109839396
"Hippocampus_ingens",0.285496642414528,0.273833956048254,0.0241856462035817,0.176845853331417,-0.0418394336704941
"Holacanthus_passer",-0.0122989276048701,-0.205888337351215,0.0660778188584215,0.0507826444889052,-0.0820571138409055
"Hoplopagrus_guentherii",-0.184151259214394,0.368707416139127,-0.245160753974574,-0.0331444598541968,0.0390149123327639
"Johnrandallia_nigrirostris",0.0322246843028946,-0.227419125555136,0.10125554102109,0.106317329335597,-0.0637872070963357
"Kyphosus_analogus",-0.126715843751526,-0.22461290388672,0.0491602182597042,-0.0494376424429509,-0.0196683059478712
"Kyphosus_elegans",-0.222018393455165,-0.24902048011923,0.0735574814170815,-0.101336962834879,0.00209468180095165
"Kyphosus_vaigiensis",-0.222018393455165,-0.24902048011923,0.0735574814170815,-0.101336962834879,0.00209468180095166
"Lutjanus_argentiventris",-0.237118225582193,0.240011803342731,0.105573430880466,-0.0275768106681014,0.185011840980209
"Lutjanus_guttatus",-0.186807838260044,0.154558767883413,0.211858040345339,-0.143459727019789,-0.177737629188295
"Lutjanus_inermis",-0.251561855826923,0.18351576042506,0.0932145644730093,0.116985871077421,-0.0180729297016962
"Lutjanus_jordani",-0.254644131065816,0.247726310471696,0.0295218137330402,-8.96963697121767e-05,0.165183577239306
"Lutjanus_novemfasciatus",-0.184151259214394,0.368707416139127,-0.245160753974574,-0.0331444598541968,0.039014912332764
"Melichthys_niger",-0.149342126579309,-0.243947765540092,0.0977143600621409,0.0230182004530577,-0.0345422079418255
"Microspathodon_bairdii",0.28110482019161,-0.103901705352614,-0.143196828178481,-0.0466252756057417,0.0887495587298989
"Microspathodon_dorsalis",0.232683140992983,-0.0954861888500921,-0.171663848222449,-0.0841406693051075,0.0876734295197271
"Mugil_curema",-0.333283639702841,-0.277320175322284,0.00671878063506324,-0.122202058682519,-0.00136142359316224
"Mulloidichthys_dentatus",0.0308115625185327,0.204402880870071,0.306063643346892,-0.129015439243842,0.0125224900458423
"Myripristis_leiognathus",0.0119751057481258,0.137695733607007,0.280448190095988,0.0136927594045629,-0.166708680595254
"Novaculichthys_taeniourus",0.242748368535074,-0.020666616945826,-0.0722655897732576,-0.122015602258032,-0.0967312888292463
"Ophioblennius_steindachneri",0.312828832677938,-0.0808489803047437,-0.149185655913087,0.0519459123363034,0.0310924949302352
"Opistognathus_panamensis",0.338333464583805,-0.090697892677259,-0.124005696777896,0.142003632551337,0.00243460341598589
"Ostracion_meleagris",0.236359203881585,-0.078025407078354,-0.145759911636575,0.00743183808349439,0.00426857664419432
"Oxycirrhites_typus",0.338333464583805,-0.0906978926772589,-0.124005696777896,0.142003632551337,0.00243460341598593
"Oxyporhamphus_micropterus_micropterus",-0.0594237789924209,-0.175727556363952,-0.243933104131443,0.211165523459514,-0.280109342087739
"Pareques_viola",0.0204709413840612,0.201723043244462,0.237812173397579,-0.125911119591324,0.0106608180859007
"Plagiotremus_azaleus",0.211245615099557,0.0166800211003921,-0.219136338369992,0.140744199518131,0.162470648380167
"Platybelone_argalus_pterura",-0.207921295987212,-0.0457238157304666,-0.357130896117254,0.122797199670414,-0.100317160261523
"Pomacanthus_zonipectus",0.094095727301118,-0.118624780264433,-0.157170593467685,0.0414402136918116,-0.188967551819088
"Prionurus_laticlavius",-0.118614389569965,-0.17485084129399,0.038834455827901,-0.175703962596081,0.17616500645057
"Pseudobalistes_naufragium",-0.0452921213638346,-0.0676873863203014,-0.143993049555581,-0.212900305316582,-0.272672773517427
"Rypticus_bicolor",0.169022917259308,0.345312125755571,-0.0739733303695325,0.163896301509098,0.105081748460001
